x y
3.22882560e+03 5.906547061889710e-16
3.23079680e+03 7.150743888240890e-16
3.23276800e+03 7.530360264264860e-16
3.23473920e+03 6.718347651403950e-16
3.23671040e+03 6.732374237176280e-16
3.23868160e+03 6.487837841991530e-16
3.24065280e+03 6.276960953847440e-16
3.24262400e+03 7.599500511494850e-16
3.24459520e+03 5.904791205331600e-16
3.24656640e+03 5.512839825815220e-16
3.24853760e+03 6.882724926259480e-16
3.25050880e+03 7.623412482826150e-16
3.25248000e+03 9.067584194582250e-16
3.25445120e+03 6.394889692562350e-16
3.25642240e+03 5.763090095281910e-16
3.25839360e+03 8.747357628181040e-16
3.26036480e+03 5.739502499125980e-16
3.26233600e+03 5.372831331953710e-16
3.26430720e+03 7.826835757958350e-16
3.26627840e+03 6.061386273767940e-16
3.26824960e+03 8.264465014088340e-16
3.27022080e+03 7.045904119303220e-16
3.27219200e+03 5.766880680471880e-16
3.27416320e+03 6.947149078312860e-16
3.27613440e+03 6.618511814328440e-16
3.27810560e+03 7.285292383361280e-16
3.28007680e+03 6.320590853656350e-16
3.28204800e+03 7.579968537159790e-16
3.28401920e+03 8.958261382783490e-16
3.28599040e+03 8.367068325450850e-16
3.28796160e+03 5.963950471033910e-16
3.28993280e+03 7.280656155336610e-16
3.29190400e+03 8.248300006806010e-16
3.29387520e+03 8.493442418366570e-16
3.29584640e+03 7.258764332616440e-16
3.29781760e+03 7.419237748634160e-16
3.29978880e+03 7.348270755338030e-16
3.30176000e+03 7.590888665929580e-16
3.30373120e+03 7.347105538406860e-16
3.30570240e+03 7.576002434465260e-16
3.30767360e+03 8.042134627416870e-16
3.30964480e+03 7.803147645742650e-16
3.31161600e+03 8.452777584092980e-16
3.31358720e+03 7.262459313453220e-16
3.31555840e+03 5.254046764117040e-16
3.31752960e+03 7.002607551754110e-16
3.31950080e+03 8.221914708303700e-16
3.32147200e+03 7.557283669956680e-16
3.32344320e+03 7.481439075090960e-16
3.32541440e+03 4.908700744335940e-16
3.32738560e+03 6.153856212526310e-16
3.32935680e+03 8.624769512772860e-16
3.33132800e+03 6.874445607487260e-16
3.33329920e+03 5.771830712467400e-16
3.33527040e+03 6.336144469316040e-16
3.33724160e+03 7.743548936977700e-16
3.33921280e+03 8.178921246569740e-16
3.34118400e+03 7.286366756508550e-16
3.34315520e+03 7.343592019572230e-16
3.34512640e+03 8.436834093727670e-16
3.34709760e+03 8.224801458583970e-16
3.34906880e+03 8.091850864441910e-16
3.35104000e+03 7.823113208372020e-16
3.35301120e+03 8.652261134955780e-16
3.35498240e+03 8.041387841642720e-16
3.35695360e+03 8.850091231931220e-16
3.35892480e+03 7.930932204287240e-16
3.36089600e+03 7.858067808507610e-16
3.36286720e+03 8.028889729486000e-16
3.36483840e+03 8.464764305746020e-16
3.36680960e+03 8.178146515939290e-16
3.36878080e+03 8.413371090576040e-16
3.37075200e+03 9.002399959051740e-16
3.37272320e+03 1.032918386078120e-15
3.37469440e+03 7.952040823918270e-16
3.37666560e+03 8.795250818929740e-16
3.37863680e+03 1.021914346683370e-15
3.38060800e+03 9.808103758365870e-16
3.38257920e+03 1.044880959388980e-15
3.38455040e+03 9.988277208024100e-16
3.38652160e+03 8.477486940662150e-16
3.38849280e+03 9.787700478755320e-16
3.39046400e+03 1.000751807432610e-15
3.39243520e+03 9.547016172790970e-16
3.39440640e+03 1.006562528879290e-15
3.39637760e+03 1.018945958906410e-15
3.39834880e+03 1.086207187434000e-15
3.40032000e+03 1.055838447194450e-15
3.40229120e+03 1.019118323624490e-15
3.40426240e+03 1.109873897290030e-15
3.40623360e+03 1.134087480633600e-15
3.40820480e+03 1.116582006033890e-15
3.41017600e+03 9.818110546955380e-16
3.41214720e+03 1.114544199568330e-15
3.41411840e+03 1.034318463391640e-15
3.41608960e+03 1.075383300040390e-15
3.41806080e+03 1.218155143486200e-15
3.42003200e+03 1.136424521804930e-15
3.42200320e+03 1.103941587590820e-15
3.42397440e+03 1.017081532988040e-15
3.42594560e+03 1.091993350269850e-15
3.42791680e+03 1.088915879741870e-15
3.42988800e+03 1.142148529010610e-15
3.43185920e+03 1.139885853069410e-15
3.43383040e+03 1.171286669060640e-15
3.43580160e+03 1.212301379402070e-15
3.43777280e+03 1.098336797409430e-15
3.43974400e+03 1.094421727292710e-15
3.44171520e+03 1.048170246630470e-15
3.44368640e+03 1.112775827661790e-15
3.44565760e+03 1.136891409808160e-15
3.44762880e+03 1.150041612286590e-15
3.44960000e+03 1.080598079755790e-15
3.45157120e+03 1.110376011289270e-15
3.45354240e+03 1.126894322566140e-15
3.45551360e+03 1.157505390104350e-15
3.45748480e+03 1.196142217921290e-15
3.45945600e+03 1.215685442791210e-15
3.46142720e+03 1.264209942408980e-15
3.46339840e+03 1.218757477371470e-15
3.46536960e+03 1.214035589361700e-15
3.46734080e+03 1.067801871958430e-15
3.46931200e+03 1.093572051756380e-15
3.47128320e+03 1.177743418022470e-15
3.47325440e+03 1.148813355928050e-15
3.47522560e+03 1.189375234565180e-15
3.47719680e+03 1.278752291248690e-15
3.47916800e+03 1.264745718563140e-15
3.48113920e+03 1.107309165194560e-15
3.48311040e+03 1.137022797396740e-15
3.48508160e+03 1.373146046100400e-15
3.48705280e+03 1.359072081579400e-15
3.48902400e+03 1.421973446690700e-15
3.49099520e+03 1.447505092631500e-15
3.49296640e+03 1.296366379549250e-15
3.49493760e+03 1.369212141157030e-15
3.49690880e+03 1.467691979904340e-15
3.49888000e+03 1.440211119678630e-15
3.50085120e+03 1.405089531982690e-15
3.50282240e+03 1.483139982130620e-15
3.50479360e+03 1.438132396432260e-15
3.50676480e+03 1.522357869161770e-15
3.50873600e+03 1.572271953623320e-15
3.51070720e+03 1.675494421215860e-15
3.51267840e+03 1.668586536773900e-15
3.51464960e+03 1.540379648715250e-15
3.51662080e+03 1.636776625600790e-15
3.51859200e+03 1.635046868486360e-15
3.52056320e+03 1.727355230844930e-15
3.52253440e+03 1.722470100878070e-15
3.52450560e+03 1.763123670998340e-15
3.52647680e+03 1.944573125931410e-15
3.52844800e+03 1.883242649402400e-15
3.53041920e+03 1.843334015316020e-15
3.53239040e+03 1.757515508458370e-15
3.53436160e+03 1.823061126055570e-15
3.53633280e+03 1.818312861150020e-15
3.53830400e+03 1.854437526376650e-15
3.54027520e+03 1.848941008281670e-15
3.54224640e+03 1.815487619908140e-15
3.54421760e+03 1.791563626816170e-15
3.54618880e+03 1.904224489331340e-15
3.54816000e+03 1.901393402204460e-15
3.55013120e+03 1.935965751675330e-15
3.55210240e+03 1.924670470692030e-15
3.55407360e+03 1.937913908650590e-15
3.55604480e+03 2.016239143128750e-15
3.55801600e+03 2.026294785173300e-15
3.55998720e+03 2.046587945147450e-15
3.56195840e+03 1.969443731734140e-15
3.56392960e+03 2.049090422514840e-15
3.56590080e+03 2.121728997655220e-15
3.56787200e+03 2.068207523827920e-15
3.56984320e+03 1.998276561598290e-15
3.57181440e+03 2.098339622449610e-15
3.57378560e+03 2.167896166529410e-15
3.57575680e+03 2.126744042606090e-15
3.57772800e+03 2.020153701030460e-15
